freq,plants,operator,nrg_bal,siec,unit,Alpha_2_code,EU?,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,CHP,PRR_AUTO,GEP,CF,GWH,IE,TRUE,195000,187000,196000,205000,222000,237000,235000,290000,412000,381000,579000,579000,629000,634000,668000,629892,1590037,1822549,1878857,1832593,1946361,1963134,2126349,2056659,2071680,2157494,2198750,2191377,2152838,2084218,2100315
A,CHP,PRR_AUTO,GEP,CF,GWH,IS,FALSE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,CF,GWH,IT,TRUE,15890000,17436000,19167000,22356000,25713000,27976000,31201000,39860000,44291000,49562000,0.000 ,0.000 ,0.000 ,16910000,16525000,17440000,16051000,17505000,17008000,18237000,21730000,21769000,14776000,14703000,14406000,17750000,17333000,18735698,21806782,21423857,19346992
A,CHP,PRR_AUTO,GEP,CF,GWH,LI,FALSE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,CF,GWH,LT,TRUE,111000,81000,55000,20000,12000,21000,21000,23000,22000,19000,17000,17000,21000,32000,165000,173000,168000,383000,213000,351000,302000,343000,560000,384000,493000,666000,618000,575900,415500,598000,609100
A,CHP,PRR_AUTO,GEP,CF,GWH,LU,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,102000,112000,101000,175000,179000,47549,66399,131809,145871,171598,174919,185542,153251,162614,180923,188128,177244,181443,185939,169072,163997,177029,165484,159023,149789,142319
A,CHP,PRR_AUTO,GEP,CF,GWH,LV,TRUE,109000,86000,72000,42000,32000,76000,90000,82000,69000,47000,34000,39000,41000,53000,80000,78000,75000,66000,59000,60000,65000,79000,176000,251000,246000,253000,207000,187724,185677,180011,172630
A,CHP,PRR_AUTO,GEP,CF,GWH,MD,FALSE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,32000,29000,29000,36000,61000,39000,41000,47000,46000,42000,33000
A,CHP,PRR_AUTO,GEP,CF,GWH,ME,FALSE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,CF,GWH,MK,FALSE,115000,70000,70000,46000,22000,9000,36000,31000,46000,26000,12000,5000,6000,6000,5000,3000,1000,3000,3000,1000,2000,2000,2000,2000,1000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
