energy_balance:nrg_bal
Imports:IMP
Exports:EXP
Inlanddemand:ID
Transformationinput-electricityandheatgeneration-electricallydrivenheatpumps:TI_EHG_EDHP
Transformationinput-electricityandheatgeneration-electricboilers:TI_EHG_EB
Transformationinput-electricityandheatgeneration-electricityforpumpedstorage-purehydroplants:TI_EHG_EPS_PURE
Transformationinput-electricityandheatgeneration-electricityforpumpedstorage-mixedplants:TI_EHG_EPS_MIX
Energysector-energyuse:NRG_E
Energysector-electricityandheatgeneration-energyuse:NRG_EHG_E
Energysector-coalmines-energyuse:NRG_CM_E
Energysector-oilandnaturalgasextractionplants-energyuse:NRG_OIL_NG_E
Energysector-patentfuelplants-energyuse:NRG_PF_E
Energysector-cokeovens-energyuse:NRG_CO_E
Energysector-browncoalbriquettesandpeatbriquettesplants-energyuse:NRG_BKBPB_E
Energysector-gasworks-energyuse:NRG_GW_E
Energysector-blastfurnaces-energyuse:NRG_BF_E
Energysector-petroleumrefineriesoilrefineries-energyuse:[NRG_PR_E]
Energysector-nuclearindustry-energyuse:NRG_NI_E
Energysector-coalliquefactionplants-energyuse:NRG_CL_E
Energysector-liquefactionandregasificationplantsLNG-energyuse:NRG_LNG_E
Energysector-gasificationplantsforbiogas-energyuse:NRG_BIOG_E
Energysector-gas-to-liquidsplants-energyuse:NRG_GTL_E
Energysector-charcoalproductionplants-energyuse:NRG_CPP_E
Energysector-notelsewherespecified-energyuse:NRG_NSP_E
Distributionlosses:DL
Availableforfinalconsumption:AFC
Finalconsumption:FC
Finalconsumption-industrysector-energyuse:FC_IND_E
Finalconsumption-industrysector-ironandsteel-energyuse:FC_IND_IS_E
Finalconsumption-industrysector-chemicalandpetrochemical-energyuse:FC_IND_CPC_E
Finalconsumption-industrysector-non-ferrousmetals-energyuse:FC_IND_NFM_E
Finalconsumption-industrysector-non-metallicminerals-energyuse:FC_IND_NMM_E
Finalconsumption-industrysector-transportequipment-energyuse:FC_IND_TE_E
Finalconsumption-industrysector-machinery-energyuse:FC_IND_MAC_E
Finalconsumption-industrysector-miningandquarrying-energyuse:FC_IND_MQ_E
Finalconsumption-industrysector-foodbeveragesandtobacco-energyuse:FC_IND_FBT_E
Finalconsumption-industrysector-paperpulpandprinting-energyuse:FC_IND_PPP_E
Finalconsumption-industrysector-woodandwoodproducts-energyuse:FC_IND_WP_E
Finalconsumption-industrysector-construction-energyuse:FC_IND_CON_E
Finalconsumption-industrysector-textileandleather-energyuse:FC_IND_TL_E
Finalconsumption-industrysector-notelsewherespecified-energyuse:FC_IND_NSP_E
Finalconsumption-transportsector-energyuse:FC_TRA_E
Finalconsumption-transportsector-rail-energyuse:FC_TRA_RAIL_E
Finalconsumption-transportsector-road-energyuse:FC_TRA_ROAD_E
Finalconsumption-transportsector-pipelinetransport-energyuse:FC_TRA_PIPE_E
Finalconsumption-transportsector-notelsewherespecified-energyuse:FC_TRA_NSP_E
Finalconsumption-othersectors-commercialandpublicservices-energyuse:FC_OTH_CP_E
Finalconsumption-othersectors-households-energyuse:FC_OTH_HH_E
Finalconsumption-othersectors-agricultureandforestry-energyuse:FC_OTH_AF_E
Finalconsumption-othersectors-fishing-energyuse:FC_OTH_FISH_E
Finalconsumption-othersectors-notelsewherespecified-energyuse:FC_OTH_NSP_E
Statisticaldifferences:STATDIFF
Grosselectricityproduction:GEP
Netelectricityproduction:NEP
